	Nouns	Verbs																															
Frequency at syllable #2:	26	17					i% #2:	0.314529914529914	0.420512820512821																								
Frequency at syllable #3:	8	2					i% #3:	0.235897435897436	0.087179487179487																								
Frequency at syllable #4:	2	1					i% #4:	0.075213675213675	0.030769230769231																								
Frequency at syllable #5:	0	0					i% #5:	0.018803418803419	0.005128205128205																								
Frequency at syllable #6:	0	0					i% #6:	0.003418803418803	0																								
dl frequency:	43	31					o% #1:	0.346808510638298	0.53																								
dl percentage of total phonemes:	0.71	1.12					o% #2:	0.357446808510638	0.36																								
Frequency at syllable #1:	24	21					o% #3:	0.208510638297872	0.095																								
Frequency at syllable #2:	13	9					o% #4:	0.076595744680851	0.015																								
Frequency at syllable #3:	5	1					o% #5:	0.008510638297872	0																								
Frequency at syllable #4:	1	0					o% #6:	0.002127659574468	0																								
Frequency at syllable #5:	0	0																															
Frequency at syllable #6:	0	0						Nouns	Verbs																								
jj frequency:	19	13					â% #1:	0.611111111111111	0.051282051282051																								
jj percentage of total phonemes:	0.31	0.47					â% #2:	0.277777777777778	0.717948717948718																								
Frequency at syllable #1:	6	6					â% #3:	0.111111111111111	0.128205128205128																								
Frequency at syllable #2:	11	4					â% #4:	0	0.076923076923077																								
Frequency at syllable #3:	1	2					â% #5:	0	0.025641025641026																								
Frequency at syllable #4:	1	0					â% #6:	0	0																								
Frequency at syllable #5:	0	0					ô% #1:	0.818181818181818	0.181818181818182																								
Frequency at syllable #6:	0	1					ô% #2:	0.090909090909091	0.666666666666667																								
gg frequency:	53	36					ô% #3:	0.090909090909091	0.121212121212121																								
gg percentage of total phonemes:	0.87	1.3					ô% #4:	0	0.03030303030303																								
Frequency at syllable #1:	17	12					ô% #5:	0	0																								
Frequency at syllable #2:	24	21					ô% #6:	0	0																								
Frequency at syllable #3:	10	3					î% #1:	0.428571428571429	0.090909090909091																								
Frequency at syllable #4:	1	0					î% #2:	0.285714285714286	0.727272727272727																								
Frequency at syllable #5:	1	0					î% #3:	0.285714285714286	0.090909090909091																								
Frequency at syllable #6:	0	0					î% #4:	0	0.090909090909091																								
ggw frequency:	8	12					î% #5:	0	0																								
ggw percentage of total phonemes:	0.13	0.43					î% #6:	0	0																								
Frequency at syllable #1:	0	7					û% #1:	0.411764705882353	0.212121212121212																								
Frequency at syllable #2:	6	4					û% #2:	0.294117647058824	0.666666666666667																								
Frequency at syllable #3:	1	0					û% #3:	0.117647058823529	0.060606060606061																								
Frequency at syllable #4:	1	1					û% #4:	0.117647058823529	0.060606060606061																								
Frequency at syllable #5:	0	0					û% #5:	0.058823529411765	0																								
Frequency at syllable #6:	0	0					û% #6:	0	0																								
c frequency:	8	8					ê% #1:	0.25	0.03125																								
c percentage of total phonemes:	0.13	0.29					ê% #2:	0.25	0.6875																								
Frequency at syllable #1:	5	4					ê% #3:	0.5	0.125																								
Frequency at syllable #2:	1	3					ê% #4:	0	0.15625																								
Frequency at syllable #3:	1	0					ê% #5:	0	0																								
Frequency at syllable #4:	1	1					ê% #6:	0	0																								
Frequency at syllable #5:	0	0																															
Frequency at syllable #6:	0	0																															
ch frequency:	8	8						Nouns	Verbs																								
ch percentage of total phonemes:	0.13	0.29					cc% #1:	0.689655172413793	0.782608695652174																								
Frequency at syllable #1:	6	7					cc% #2:	0.206896551724138	0.173913043478261																								
Frequency at syllable #2:	2	1					cc% #3:	0.068965517241379	0.043478260869565																								
Frequency at syllable #3:	0	0					cc% #4:	0.03448275862069	0																								
Frequency at syllable #4:	0	0					cc% #5:	0	0																								
Frequency at syllable #5:	0	0					cc% #6:	0	0																								
Frequency at syllable #6:	0	0					qq% #1:	0.634146341463415	0.545454545454545																								
q frequency:	20	21					qq% #2:	0.292682926829268	0.363636363636364																								
q percentage of total phonemes:	0.33	0.76					qq% #3:	0.073170731707317	0.03030303030303																								
Frequency at syllable #1:	16	18					qq% #4:	0	0.060606060606061																								
Frequency at syllable #2:	2	3					qq% #5:	0	0																								
Frequency at syllable #3:	1	0					qq% #6:	0	0																								
Frequency at syllable #4:	0	0					xx% #1:	0.642857142857143	0.521739130434783																								
Frequency at syllable #5:	1	0					xx% #2:	0.357142857142857	0.478260869565217																								
Frequency at syllable #6:	0	0					xx% #3:	0	0																								
qh frequency:	17	28					xx% #4:	0	0																								
qh percentage of total phonemes:	0.28	1.01					xx% #5:	0	0																								
Frequency at syllable #1:	10	24					xx% #6:	0	0																								
Frequency at syllable #2:	5	3					zz% #1:	0.52	0.5																								
Frequency at syllable #3:	2	1					zz% #2:	0.346666666666667	0.5																								
Frequency at syllable #4:	0	0					zz% #3:	0.106666666666667	0																								
Frequency at syllable #5:	0	0					zz% #4:	0.026666666666667	0																								
Frequency at syllable #6:	0	0					zz% #5:	0	0																								
z frequency:	17	4					zz% #6:	0	0																								
z percentage of total phonemes:	0.28	0.14					dl% #1:	0.558139534883721	0.411764705882353																								
Frequency at syllable #1:	4	1					dl% #2:	0.302325581395349	0.5																								
Frequency at syllable #2:	8	3					dl% #3:	0.116279069767442	0.058823529411765																								
Frequency at syllable #3:	4	0					dl% #4:	0.023255813953488	0.029411764705882																								
Frequency at syllable #4:	1	0					dl% #5:	0	0																								
Frequency at syllable #5:	0	0					dl% #6:	0	0																								
Frequency at syllable #6:	0	0					jj% #1:	0.31578947368421	0.67741935483871																								
x frequency:	19	18					jj% #2:	0.578947368421053	0.290322580645161																								
x percentage of total phonemes:	0.31	0.65					jj% #3:	0.052631578947369	0.032258064516129																								
Frequency at syllable #1:	16	15					jj% #4:	0.052631578947369	0																								
Frequency at syllable #2:	2	2					jj% #5:	0	0																								
Frequency at syllable #3:	1	0					jj% #6:	0	0																								
Frequency at syllable #4:	0	1					gg% #1:	0.320754716981132	0.461538461538462																								
Frequency at syllable #5:	0	0					gg% #2:	0.452830188679245	0.307692307692308																								
Frequency at syllable #6:	0	0					gg% #3:	0.188679245283019	0.153846153846154																								
xh frequency:	11	17					gg% #4:	0.018867924528302	0																								
xh percentage of total phonemes:	0.18	0.62					gg% #5:	0.018867924528302	0																								
Frequency at syllable #1:	10	11					gg% #6:	0	0.076923076923077																								
Frequency at syllable #2:	1	6					ggw% #1:	0	0.333333333333333																								
Frequency at syllable #3:	0	0					ggw% #2:	0.75	0.583333333333333																								
Frequency at syllable #4:	0	0					ggw% #3:	0.125	0.083333333333333																								
Frequency at syllable #5:	0	0					ggw% #4:	0.125	0																								
Frequency at syllable #6:	0	0					ggw% #5:	0	0																								
b frequency:	78	42					ggw% #6:	0	0																								
b percentage of total phonemes:	1.28	1.52					c% #1:	0.625	0.583333333333333																								
Frequency at syllable #1:	33	23					c% #2:	0.125	0.333333333333333																								
Frequency at syllable #2:	29	16					c% #3:	0.125	0																								
Frequency at syllable #3:	12	2					c% #4:	0.125	0.083333333333333																								
Frequency at syllable #4:	3	1					c% #5:	0	0																								
Frequency at syllable #5:	1	0					c% #6:	0	0																								
Frequency at syllable #6:	0	0					ch% #1:	0.75	0.5																								
p frequency:	72	46					ch% #2:	0.25	0.375																								
p percentage of total phonemes:	1.18	1.67					ch% #3:	0	0																								
Frequency at syllable #1:	30	18					ch% #4:	0	0.125																								
Frequency at syllable #2:	18	20					ch% #5:	0	0																								
Frequency at syllable #3:	21	6					ch% #6:	0	0																								
Frequency at syllable #4:	2	1					q% #1:	0.8	0.875																								
Frequency at syllable #5:	0	1					q% #2:	0.1	0.125																								
Frequency at syllable #6:	1	0					q% #3:	0.05	0																								
ph frequency:	22	29					q% #4:	0	0																								
ph percentage of total phonemes:	0.36	1.05					q% #5:	0.05	0																								
Frequency at syllable #1:	8	8					q% #6:	0	0																								
Frequency at syllable #2:	12	18					qh% #1:	0.588235294117647	0.857142857142857																								
Frequency at syllable #3:	2	3					qh% #2:	0.294117647058824	0.142857142857143																								
Frequency at syllable #4:	0	0					qh% #3:	0.117647058823529	0																								
Frequency at syllable #5:	0	0					qh% #4:	0	0																								
Frequency at syllable #6:	0	0					qh% #5:	0	0																								
d frequency:	99	17					qh% #6:	0	0																								
d percentage of total phonemes:	1.63	0.62					z% #1:	0.235294117647059	0.857142857142857																								
Frequency at syllable #1:	25	7					z% #2:	0.470588235294118	0.107142857142857																								
Frequency at syllable #2:	28	8					z% #3:	0.235294117647059	0.035714285714286																								
Frequency at syllable #3:	24	2					z% #4:	0.058823529411765	0																								
Frequency at syllable #4:	20	0					z% #5:	0	0																								
Frequency at syllable #5:	2	0					z% #6:	0	0																								
Frequency at syllable #6:	0	0					x% #1:	0.842105263157895	0.25																								
t frequency:	134	72					x% #2:	0.105263157894737	0.75																								
t percentage of total phonemes:	2.21	2.61					x% #3:	0.052631578947369	0																								
Frequency at syllable #1:	32	31					x% #4:	0	0																								
Frequency at syllable #2:	55	30					x% #5:	0	0																								
Frequency at syllable #3:	37	10					x% #6:	0	0																								
Frequency at syllable #4:	10	1					xh% #1:	0.909090909090909	0.833333333333333																								
Frequency at syllable #5:	0	0					xh% #2:	0.090909090909091	0.111111111111111																								
Frequency at syllable #6:	0	0					xh% #3:	0	0																								
th frequency:	34	32					xh% #4:	0	0.055555555555556																								
th percentage of total phonemes:	0.56	1.16					xh% #5:	0	0																								
Frequency at syllable #1:	8	17					xh% #6:	0	0																								
Frequency at syllable #2:	16	15					b% #1:	0.423076923076923	0.647058823529412																								
Frequency at syllable #3:	6	0					b% #2:	0.371794871794872	0.352941176470588																								
Frequency at syllable #4:	3	0					b% #3:	0.153846153846154	0																								
Frequency at syllable #5:	1	0					b% #4:	0.038461538461539	0																								
Frequency at syllable #6:	0	0					b% #5:	0.012820512820513	0																								
g frequency:	125	28					b% #6:	0	0																								
g percentage of total phonemes:	2.06	1.01					p% #1:	0.416666666666667	0.547619047619048																								
Frequency at syllable #1:	54	22					p% #2:	0.25	0.380952380952381																								
Frequency at syllable #2:	38	5					p% #3:	0.291666666666667	0.047619047619048																								
Frequency at syllable #3:	19	0					p% #4:	0.027777777777778	0.023809523809524																								
Frequency at syllable #4:	11	1					p% #5:	0	0																								
Frequency at syllable #5:	1	0					p% #6:	0.013888888888889	0																								
Frequency at syllable #6:	2	0					ph% #1:	0.363636363636364	0.391304347826087																								
k frequency:	102	85					ph% #2:	0.545454545454545	0.434782608695652																								
k percentage of total phonemes:	1.68	3.08					ph% #3:	0.090909090909091	0.130434782608696																								
Frequency at syllable #1:	39	29					ph% #4:	0	0.021739130434783																								
